Date,Open,High,Low,Close,Adj Close,Volume
2019-09-20,214.399994,218.589996,212.449997,218.229996,218.229996,0
2019-09-23,220.229996,223.399994,219.389999,223.149994,223.149994,0
2019-09-24,220.889999,226.639999,219.339996,226.130005,226.130005,0
2019-09-25,226.130005,226.130005,215.929993,218.320007,218.320007,0
2019-09-26,218.320007,220.429993,214.949997,215.080002,215.080002,0
2019-09-27,209.750000,213.110001,208.240005,210.600006,210.600006,0
2019-09-30,205.880005,208.610001,201.529999,203.270004,203.270004,0
2019-10-01,201.259995,208.449997,200.860001,204.289993,204.289993,0
2019-10-02,207.380005,208.869995,205.309998,207.669998,207.669998,0
2019-10-03,207.500000,212.490005,206.429993,206.880005,206.880005,0
2019-10-04,206.149994,211.410004,205.740005,211.289993,211.289993,0
2019-10-07,209.199997,212.589996,208.449997,209.529999,209.529999,0
2019-10-08,212.800003,215.759995,211.699997,215.729996,215.729996,0
2019-10-09,215.490005,215.990005,211.779999,213.270004,213.270004,0
2019-10-10,213.169998,214.320007,208.729996,213.860001,213.860001,0
2019-10-11,211.220001,211.220001,203.860001,204.080002,204.080002,0
2019-10-14,204.929993,207.070007,203.949997,205.080002,205.080002,0
2019-10-15,203.850006,204.059998,199.029999,199.119995,199.119995,0
2019-10-16,201.029999,202.800003,198.880005,202.720001,202.720001,0
2019-10-17,201.610001,209.559998,201.610001,207.369995,207.369995,0
2019-10-18,206.949997,209.649994,205.330002,208.190002,208.190002,0
2019-10-21,209.610001,209.820007,203.000000,203.429993,203.429993,0
2019-10-22,203.429993,205.539993,200.449997,203.369995,203.369995,0
2019-10-23,205.240005,207.729996,204.229996,205.009995,205.009995,0
2019-10-24,206.470001,212.160004,206.470001,212.000000,212.000000,0
2019-10-25,215.300003,218.210007,211.589996,214.050003,214.050003,0
2019-10-28,211.190002,211.910004,208.630005,209.759995,209.759995,0
2019-10-29,206.929993,212.949997,206.559998,211.380005,211.380005,0
2019-10-30,211.699997,214.490005,208.949997,214.440002,214.440002,0
2019-10-31,215.330002,220.570007,214.720001,220.169998,220.169998,0
2019-11-01,217.820007,219.639999,215.660004,218.929993,218.929993,0
2019-11-04,218.169998,218.529999,214.410004,214.550003,214.550003,0
2019-11-05,209.809998,211.490005,208.330002,211.190002,211.190002,0
2019-11-06,212.210007,216.169998,211.330002,214.470001,214.470001,0
2019-11-07,212.470001,212.470001,203.979996,205.839996,205.839996,0
2019-11-08,203.619995,207.809998,203.389999,204.690002,204.690002,0
2019-11-11,204.679993,207.369995,204.110001,205.820007,205.820007,0
2019-11-12,205.960007,208.369995,202.690002,207.960007,207.960007,0
2019-11-13,210.220001,212.690002,209.940002,210.440002,210.440002,0
2019-11-14,211.880005,213.399994,210.350006,212.210007,212.210007,0
2019-11-15,210.660004,212.940002,209.809998,210.089996,210.089996,0
2019-11-18,209.880005,214.529999,209.869995,214.300003,214.300003,0
2019-11-19,213.779999,218.149994,213.559998,215.330002,215.330002,0
2019-11-20,215.809998,218.210007,214.100006,217.070007,217.070007,0
2019-11-21,216.279999,217.460007,212.229996,212.350006,212.350006,0
2019-11-22,213.509995,213.669998,210.050003,210.770004,210.770004,0
2019-11-25,210.770004,211.539993,207.149994,207.369995,207.369995,0
2019-11-26,207.559998,211.839996,206.429993,211.570007,211.570007,0
2019-11-27,209.970001,210.529999,207.070007,209.770004,209.770004,0
2019-11-29,210.500000,215.419998,210.369995,214.800003,214.800003,0
2019-12-02,214.360001,216.580002,213.610001,215.960007,215.960007,0
2019-12-03,219.630005,224.350006,219.630005,222.820007,222.820007,0
2019-12-04,222.720001,223.389999,219.500000,221.910004,221.910004,0
2019-12-05,220.490005,225.429993,220.490005,223.600006,223.600006,0
2019-12-06,219.630005,220.820007,217.339996,217.339996,217.339996,0
2019-12-09,218.949997,219.490005,215.580002,216.250000,216.250000,0
2019-12-10,218.259995,218.610001,215.770004,217.759995,217.759995,0
2019-12-11,219.389999,224.559998,218.770004,223.720001,223.720001,0
2019-12-12,226.429993,227.699997,221.179993,223.210007,223.210007,0
2019-12-13,221.850006,226.639999,221.850006,225.740005,225.740005,0
2019-12-16,226.149994,226.369995,222.600006,223.139999,223.139999,0
2019-12-17,222.470001,223.399994,221.119995,221.240005,221.240005,0
2019-12-18,221.199997,224.250000,220.550003,224.240005,224.240005,0
2019-12-19,224.029999,224.509995,221.399994,222.770004,222.770004,0
2019-12-20,223.119995,223.320007,219.470001,219.470001,219.470001,0
2019-12-23,220.320007,227.660004,219.830002,227.490005,227.490005,0
2019-12-24,229.229996,235.559998,229.029999,235.539993,235.539993,0
2019-12-26,238.240005,241.740005,235.539993,239.100006,239.100006,0
2019-12-27,239.100006,240.009995,236.270004,237.449997,237.449997,0
2019-12-30,237.789993,242.919998,237.339996,242.369995,242.369995,0
2019-12-31,243.940002,245.160004,241.330002,241.940002,241.940002,0
2020-01-02,243.970001,245.050003,239.550003,240.610001,240.610001,0
2020-01-03,243.940002,245.539993,237.190002,238.259995,238.259995,0
2020-01-06,243.380005,243.970001,236.009995,237.740005,237.740005,0
2020-01-07,237.279999,241.029999,236.009995,240.139999,240.139999,0
2020-01-08,240.009995,240.330002,229.220001,229.949997,229.949997,0
2020-01-09,227.990005,230.610001,226.720001,226.899994,226.899994,0
2020-01-10,227.880005,232.429993,227.880005,231.119995,231.119995,0
2020-01-13,229.949997,230.070007,225.059998,225.100006,225.100006,0
2020-01-14,223.699997,228.729996,223.179993,228.429993,228.429993,0
2020-01-15,230.309998,233.889999,228.009995,233.460007,233.460007,0
2020-01-16,232.279999,233.449997,230.220001,232.279999,232.279999,0
2020-01-17,232.429993,232.580002,228.149994,228.809998,228.809998,0
2020-01-21,228.130005,233.199997,227.600006,233.199997,233.199997,0
